FlowRate_LPM,Pressure_Bar,TankLevel_L,OilCost_$
249.82,43.62,2494.56,390.01
480.29,48.41,2331.65,573.42
392.8,71.27,1704.62,506.38
339.46,40.4,3429.07,503.62
162.41,72.18,2906.5,383.52
162.4,25.29,4462.8,390.99
123.23,66.61,1128.44,254.92
446.47,70.85,3575.47,642.23
340.45,30.91,4051.8,521.31
383.23,45.82,4037.95,577.21
108.23,29.93,4544.3,358.7
487.96,62.4,3916.13,679.77
432.98,52.12,4711.24,660.12
184.94,58.12,2330.63,351.66
172.73,31.79,3012.84,336.51
173.36,32.7,1056.32,240.56
221.7,22.49,1027.83,262.48
309.9,39.32,1960.51,404.93
272.78,53.58,1403.23,368.76
216.49,71.48,2040.85,382.45
344.74,60.02,1708.17,451.23
155.8,46.12,1114.08,249.53
216.86,77.19,4637.22,521.13
246.54,63.15,1032.89,343.61
282.43,75.81,3944.33,536.87
414.07,51.66,1608.59,489.17
179.87,35.53,4648.92,429.64
305.69,23.17,4571.18,507.87
336.97,63.57,3615.6,545.7
118.58,27.28,3688.94,320.23
343.02,38.17,1021.36,382.73
168.21,51.95,4939.49,459.46
126.02,53.86,4511.33,407.18
479.55,56.03,4580.42,696.72
486.25,29.98,3636.98,615.81
423.36,42.78,2379.15,521.82
221.85,57.03,4574.59,491.75
139.07,78.19,2166.07,336.84
373.69,63.66,3250.85,556.98
276.06,75.36,1398.92,403.83
148.82,65.73,4687.82,452.04
298.07,55.5,1563.08,399.87
113.76,31.52,1899.59,233.27
463.73,60.0,3232.54,622.61
203.51,57.4,4056.37,451.73
365.01,56.15,3477.41,550.1
224.68,49.39,1928.54,350.26
308.03,51.72,1003.77,374.19
318.68,40.07,4028.6,516.48
173.94,51.16,4940.83,462.93
487.83,31.85,4239.65,650.03
410.05,68.31,2840.83,572.55
475.8,31.15,4615.07,658.11
457.93,25.1,2639.39,535.96
339.16,46.17,3099.74,495.58
468.75,59.5,2908.52,609.67
135.4,46.26,2790.5,317.24
178.39,36.61,4100.76,402.66
118.09,53.49,3107.08,330.06
230.13,40.82,2266.87,358.68
255.47,75.97,2032.63,419.97
208.54,75.36,1150.99,337.42
431.5,50.14,3332.78,587.05
242.7,39.67,1919.85,349.66
212.37,64.23,1592.54,345.87
317.08,22.2,3615.32,467.73
156.37,48.49,3724.84,384.07
420.88,40.18,4008.62,597.4
